scenario,tau_t,config,threshold,n_chains,attack_chain_total_strength,attack_chain_mean_strength,attack_chain_n_events,attack_chain_n_pairs,attack_chain_is_cross_domain,attack_connectivity,noise_inclusion,max_other_chain_strength,separation_ratio
mmsi,3600.0,topology-heavy,0.3,1,13.362064054977456,0.556752668957394,8,24,True,1.0,0,0.0,0.0
mmsi,3600.0,topology-heavy,0.5,1,9.125749809537169,0.6518392721097978,8,14,True,1.0,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.0,1,10.107258351420215,0.38874070582385445,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.05,1,10.107258351420215,0.38874070582385445,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.1,1,10.107258351420215,0.38874070582385445,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.15,1,10.107258351420215,0.38874070582385445,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.2,1,9.93839934062201,0.39753597362488036,8,25,True,1.0,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.3,1,6.201108735976104,0.6890120817751226,7,9,True,0.875,0,0.0,0.0
mmsi,3600.0,cross-heavy,0.5,1,5.52310780245972,0.7890154003513886,6,7,True,0.75,0,0.0,0.0
mmsi,3600.0,evidence-light,0.0,1,8.048922421759649,0.309573939298448,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,evidence-light,0.05,1,8.048922421759649,0.309573939298448,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,evidence-light,0.1,1,7.95180456998103,0.3180721827992412,8,25,True,1.0,0,0.0,0.0
mmsi,3600.0,evidence-light,0.15,1,7.088601827886422,0.3938112126603568,8,18,True,1.0,0,0.0,0.0
mmsi,3600.0,evidence-light,0.2,1,5.488222610531688,0.686027826316461,7,8,True,0.875,0,0.0,0.0
mmsi,3600.0,evidence-light,0.3,1,5.488222610531688,0.686027826316461,7,8,True,0.875,0,0.0,0.0
mmsi,3600.0,evidence-light,0.5,2,4.0988525648903416,0.8197705129780684,4,5,False,0.5,0,0.6841354859718584,5.99128776234675
gnss_5g,60.0,current,0.0,1,1.1628302211922934,0.027042563283541706,11,43,True,1.0,3,0.0,0.0
gnss_5g,60.0,current,0.05,3,0.3231841483951742,0.1615920741975871,3,2,True,0.375,0,0.35314004574770586,0.9151727545112992
gnss_5g,60.0,current,0.1,3,0.2920699991871844,0.1460349995935922,3,2,True,0.25,1,0.26211410183465267,1.1142857142857143
gnss_5g,60.0,current,0.15,3,0.26211410183465267,0.26211410183465267,2,1,True,0.25,0,0.16600559782861335,1.5789473684210527
gnss_5g,60.0,current,0.2,1,0.26211410183465267,0.26211410183465267,2,1,True,0.25,0,0.0,0.0
gnss_5g,60.0,current,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,60.0,current,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,60.0,uniform,0.0,1,0.8707804229420446,0.020250707510280106,11,43,True,1.0,3,0.0,0.0
gnss_5g,60.0,uniform,0.05,3,0.20969128146772212,0.10484564073386106,3,2,True,0.25,1,0.20969128146772212,1.0
gnss_5g,60.0,uniform,0.1,3,0.20969128146772212,0.10484564073386106,3,2,True,0.25,1,0.20969128146772212,1.0
gnss_5g,60.0,uniform,0.15,1,0.20969128146772212,0.20969128146772212,2,1,True,0.25,0,0.0,0.0
gnss_5g,60.0,uniform,0.2,1,0.20969128146772212,0.20969128146772212,2,1,True,0.25,0,0.0,0.0
gnss_5g,60.0,uniform,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,60.0,uniform,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,60.0,topology-heavy,0.0,1,1.305875652425894,0.03036920121920684,11,43,True,1.0,3,0.0,0.0
gnss_5g,60.0,topology-heavy,0.05,3,0.37571222091435597,0.125237406971452,4,3,True,0.375,1,0.4154952768503184,0.9042514845474544
gnss_5g,60.0,topology-heavy,0.1,3,0.33776976304601836,0.16888488152300918,3,2,True,0.25,1,0.25734839089220446,1.3125
gnss_5g,60.0,topology-heavy,0.15,3,0.25734839089220446,0.25734839089220446,2,1,True,0.25,0,0.21127985178187153,1.2180451127819552
gnss_5g,60.0,topology-heavy,0.2,3,0.25734839089220446,0.25734839089220446,2,1,True,0.25,0,0.21127985178187153,1.2180451127819552
gnss_5g,60.0,topology-heavy,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,60.0,topology-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,60.0,cross-heavy,0.0,1,0.9314382940637297,0.02166135567590069,11,43,True,1.0,3,0.0,0.0
gnss_5g,60.0,cross-heavy,0.05,3,0.2696030761727856,0.2696030761727856,2,1,True,0.25,0,0.21568246093822846,1.2500000000000002
gnss_5g,60.0,cross-heavy,0.1,2,0.2696030761727856,0.2696030761727856,2,1,True,0.25,0,0.12581476888063328,2.142857142857143
gnss_5g,60.0,cross-heavy,0.15,1,0.2696030761727856,0.2696030761727856,2,1,True,0.25,0,0.0,0.0
gnss_5g,60.0,cross-heavy,0.2,1,0.2696030761727856,0.2696030761727856,2,1,True,0.25,0,0.0,0.0
gnss_5g,60.0,cross-heavy,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
